SYMBOLS
 " &#34;	&quot;	quotation mark	
 ' &#39;	&apos;	apostrophe
 & &#38;	&amp;	ampersand 
 < &#60;	&lt;	less-than 
 > &#62;	&gt;	greater-than	
 ¡ &#161;	&iexcl;	inverted exclamation mark 
 ¢ &#162;	&cent;	cent	
 £ &#163;	&pound;	pound 
 ¥ &#165;	&yen;	yen 
 § &#167;	&sect;	section 
 © &#169;	&copy;	copyright 
 ® &#174;	&reg;	registered trademark	
 ˜ &#732;	&tilde;	small tilde 
 – &#8211;	&ndash;	en dash 
 — &#8212;	&mdash;	em dash 
 ‘ &#8216;	&lsquo;	left single quotation mark	
 ’ &#8217;	&rsquo;	right single quotation mark 
 “ &#8220;	&ldquo;	left double quotation mark	
 ” &#8221;	&rdquo;	right double quotation mark 
 † &#8224;	&dagger;	dagger	
 ‡ &#8225;	&Dagger;	double dagger 
 • &#8226;	&bull;	bullet	
 … &#8230;	&hellip;	horizontal ellipsis 
 € &#8364;	&euro;	euro	
 ™ &#8482;	&trade;	trademark 

MATHS
 °	&#176;	&deg;	degree	
 ±	&#177;	&plusmn;	plus-or-minus  
 µ	&#181;	&micro;	micro 
 ¼	&#188;	&frac14;	fraction 1/4	
 ½	&#189;	&frac12;	fraction 1/2	
 ¾	&#190;	&frac34;	fraction 3/4	
 ×	&#215;	&times;	multiplication	
 ÷	&#247;	&divide;	division	
 −	&#8722;	&minus;	minus 
 ∗	&#8727;	&lowast;	lowast	
 √	&#8730;	&radic;	square root 
 ∞	&#8734;	&infin;	infinity	
 ∼	&#8764;	&sim;	similar to	
 ≈	&#8776;	&asymp;	almost equal	
 ≠	&#8800;	&ne;	not equal 
 ≤	&#8804;	&le;	less or equal 
 ≥	&#8805;	&ge;	greater or equal	
 ϑ	&#977;	&thetasym;	theta symbol	
 ϒ	&#978;	&upsih;	upsilon symbol	
 ϖ	&#982;	&piv;	pi symbol 

ACCENTS
 À	&#192;	&Agrave;	capital a, grave accent 
 Á	&#193;	&Aacute;	capital a, acute accent 
 Â	&#194;	&Acirc;	capital a, circumflex 
 Ã	&#195;	&Atilde;	capital a, tilde	
 Ä	&#196;	&Auml;	capital a, umlaut mark	
 Æ	&#198;	&AElig;	capital ae	
 à	&#224;	&agrave;	small a, grave accent 
 á	&#225;	&aacute;	small a, acute accent 
 â	&#226;	&acirc;	small a, circumflex accent	
 ã	&#227;	&atilde;	small a, tilde	
 å	&#228;	&auml;	small a, umlaut mark	
 å	&#229;	&aring;	small a, ring 
 æ	&#230;	&aelig;	small ae	
 È	&#200;	&Egrave;	capital e, grave accent 
 É	&#201;	&Eacute;	capital e, acute accent 
 Ê	&#202;	&Ecirc;	capital e, circumflex 
 Ë	&#203;	&Euml;	capital e, umlaut mark	
 è	&#232;	&egrave;	small e, grave accent 
 é	&#233;	&eacute;	small e, acute accent 
